100, 4, 1, 3.35024
100, 4, 2, 3.38383
100, 4, 3, 3.31811
100, 4, 4, 3.40958
100, 5, 1, 3.70443
100, 5, 2, 3.84064
100, 5, 3, 3.90738
100, 5, 4, 3.81781
100, 5, 5, 3.83542
100, 6, 1, 4.28244
100, 6, 2, 4.31279
100, 6, 3, 4.2321
100, 6, 4, 4.19077
100, 6, 5, 4.32933
100, 6, 6, 4.16252
100, 7, 1, 5.06462
100, 7, 2, 5.06819
100, 7, 3, 5.02697
100, 7, 4, 5.12084
100, 7, 5, 5.01712
100, 7, 6, 5.03773
100, 7, 7, 4.94973
100, 8, 1, 6.0133
100, 8, 2, 6.12923
100, 8, 3, 6.04187
100, 8, 4, 5.96054
100, 8, 5, 5.9641
100, 8, 6, 6.00084
100, 8, 7, 6.18912
100, 8, 8, 5.97105
100, 9, 1, 7.04513
100, 9, 2, 7.14159
100, 9, 3, 7.13766
100, 9, 4, 7.24532
100, 9, 5, 7.13111
100, 9, 6, 7.37526
100, 9, 7, 7.36257
100, 9, 8, 7.28173
100, 9, 9, 7.18491
100, 10, 1, 8.45883
100, 10, 2, 8.54939
100, 10, 3, 8.44384
100, 10, 4, 8.41294
100, 10, 5, 8.44618
100, 10, 6, 8.36874
100, 10, 7, 8.56363
100, 10, 8, 8.50924
100, 10, 9, 8.53263
100, 10, 10, 8.6012
150, 4, 1, 4.87224
150, 4, 2, 4.9522
150, 4, 3, 5.0056
150, 4, 4, 4.96883
150, 5, 1, 5.40923
150, 5, 2, 5.42056
150, 5, 3, 5.51703
150, 5, 4, 5.59333
150, 5, 5, 5.49584
150, 6, 1, 5.99563
150, 6, 2, 5.98166
150, 6, 3, 6.15885
150, 6, 4, 6.09613
150, 6, 5, 5.97833
150, 6, 6, 6.05663
150, 7, 1, 6.91958
150, 7, 2, 6.99265
150, 7, 3, 6.85648
150, 7, 4, 6.97355
150, 7, 5, 6.86034
150, 7, 6, 6.99051
150, 7, 7, 6.9885
150, 8, 1, 8.06927
150, 8, 2, 8.01459
150, 8, 3, 7.77528
150, 8, 4, 7.92856
150, 8, 5, 8.09787
150, 8, 6, 8.11897
150, 8, 7, 7.99067
150, 8, 8, 8.06299
150, 9, 1, 9.1338
150, 9, 2, 9.08653
150, 9, 3, 9.18505
150, 9, 4, 9.31395
150, 9, 5, 9.28228
150, 9, 6, 9.23887
150, 9, 7, 9.27288
150, 9, 8, 9.12508
150, 9, 9, 9.29858
150, 10, 1, 10.76906
150, 10, 2, 10.67525
150, 10, 3, 10.60908
150, 10, 4, 10.68104
150, 10, 5, 10.67477
150, 10, 6, 10.68475
150, 10, 7, 10.58651
150, 10, 8, 10.7529
150, 10, 9, 10.65084
150, 10, 10, 10.57184
200, 4, 1, 6.71626
200, 4, 2, 6.98316
200, 4, 3, 6.76008
200, 4, 4, 6.88867
200, 5, 1, 7.21039
200, 5, 2, 7.30653
200, 5, 3, 7.17986
200, 5, 4, 7.4091
200, 5, 5, 7.10033
200, 6, 1, 7.89927
200, 6, 2, 7.96016
200, 6, 3, 7.9116
200, 6, 4, 7.74534
200, 6, 5, 7.88441
200, 6, 6, 7.79092
200, 7, 1, 8.88123
200, 7, 2, 8.88441
200, 7, 3, 8.70468
200, 7, 4, 8.7674
200, 7, 5, 8.79017
200, 7, 6, 8.77074
200, 7, 7, 8.76506
200, 8, 1, 9.90156
200, 8, 2, 9.94947
200, 8, 3, 9.74242
200, 8, 4, 10.05991
200, 8, 5, 10.02187
200, 8, 6, 9.98107
200, 8, 7, 10.04783
200, 8, 8, 10.02598
200, 9, 1, 11.0963
200, 9, 2, 11.08324
200, 9, 3, 11.22643
200, 9, 4, 11.1281
200, 9, 5, 11.29732
200, 9, 6, 11.70938
200, 9, 7, 11.47835
200, 9, 8, 11.58644
200, 9, 9, 11.37129
200, 10, 1, 12.62907
200, 10, 2, 12.86333
200, 10, 3, 12.84426
200, 10, 4, 12.65895
200, 10, 5, 12.70245
200, 10, 6, 12.56693
200, 10, 7, 12.83507
200, 10, 8, 12.70482
200, 10, 9, 12.85202
200, 10, 10, 12.77748
250, 4, 1, 9.06561
250, 4, 2, 8.96203
250, 4, 3, 9.24455
250, 4, 4, 8.97813
250, 5, 1, 9.48842
250, 5, 2, 9.66324
250, 5, 3, 9.80673
250, 5, 4, 9.60312
250, 5, 5, 9.74916
250, 6, 1, 10.04491
250, 6, 2, 10.39463
250, 6, 3, 10.05118
250, 6, 4, 10.31038
250, 6, 5, 10.40017
250, 6, 6, 10.47884
250, 7, 1, 11.36748
250, 7, 2, 11.23522
250, 7, 3, 11.1876
250, 7, 4, 11.09191
250, 7, 5, 11.22496
250, 7, 6, 10.96981
250, 7, 7, 11.25102
250, 8, 1, 12.46628
